Mek1-PP	Erk2	Mos	Erk2-P	Erk2-PP	Mos-P	Mek1	Mek1-P	(phosphorylation of MAPKK).KK3	(MAPKKK activation).K1	(dephosphorylation of MAPK-PP).V9	(phosphorylation of MAPK).k7	(phosphorylation of MAPK-P).k8	(MAPKKK inactivation).KK2	(MAPKKK inactivation).V2	(phosphorylation of MAPKK).k3	(phosphorylation of MAPKK-P).k4	(dephosphorylation of MAPKK-PP).KK5	(dephosphorylation of MAPK-PP).KK9	(dephosphorylation of MAPKK-P).KK6	(phosphorylation of MAPKK-P).KK4	(MAPKKK activation).V1	(MAPKKK activation).Ki	(phosphorylation of MAPK).KK7	(dephosphorylation of MAPK-P).KK10	(phosphorylation of MAPK-P).KK8	(dephosphorylation of MAPKK-PP).V5	(dephosphorylation of MAPK-P).V10	(dephosphorylation of MAPKK-P).V6	(MAPKKK activation).n	RSS
10	280	90	10	10	10	280	10	13.4458	10.4006	0.466464	0.026624	0.0262176	8.22221	0.250992	0.0247456	0.0255392	12.5299	12.7056	12.1094	15.888	2.3888	9.22694	20.5306	13.0224	17.5181	0.735936	0.494784	0.71592	1	108.831
10	280	90	10	10	10	280	10	13.4784	10.4224	0.466784	0.0266304	0.0262096	8.23757	0.25096	0.0247568	0.0255376	12.5232	12.7104	12.0778	15.8688	2.39056	9.21773	20.5632	13.009	17.495	0.736176	0.495008	0.715824	1	108.801
10	280	90	10	10	10	280	10	13.512	10.4448	0.467136	0.0266384	0.0262016	8.25293	0.250928	0.024768	0.0255344	12.5174	12.7142	12.0451	15.8506	2.39232	9.20851	20.5968	12.9946	17.473	0.736368	0.495232	0.715632	1	108.774
10	280	90	10	10	10	280	10	13.5466	10.4678	0.46752	0.0266448	0.0261952	8.26778	0.250896	0.0247776	0.0255312	12.5126	12.7171	12.0115	15.8333	2.39408	9.19872	20.6314	12.9792	17.4518	0.736512	0.495424	0.71544	1	108.75
10	280	90	10	10	10	280	10	13.5821	10.4915	0.467936	0.0266512	0.0261888	8.28211	0.250848	0.0247872	0.0255264	12.5088	12.719	11.9789	15.817	2.39584	9.18835	20.6669	12.9629	17.4317	0.736656	0.495584	0.7152	1	108.729
10	280	90	10	10	10	280	10	13.6186	10.5146	0.468384	0.0266576	0.026184	8.29594	0.2508	0.0247952	0.0255232	12.5059	12.72	11.9472	15.7997	2.3976	9.17741	20.7034	12.9456	17.4125	0.736752	0.495712	0.714912	1	108.71
10	280	90	10	10	10	280	10	13.656	10.5382	0.468864	0.026664	0.0261808	8.30925	0.250752	0.0248032	0.0255184	12.504	12.72	11.9165	15.7834	2.39936	9.16646	20.7408	12.9274	17.3942	0.7368	0.495808	0.714576	1	108.695
10	280	90	10	10	10	280	10	13.6944	10.5626	0.469376	0.026672	0.0261776	8.32205	0.25072	0.0248112	0.0255136	12.503	12.719	11.8848	15.768	2.40112	9.15552	20.7792	12.9082	17.377	0.7368	0.495936	0.714192	1	108.682
10	280	90	10	10	10	280	10	13.7338	10.5869	0.46992	0.0266784	0.0261728	8.33434	0.250688	0.0248176	0.0255072	12.503	12.7171	11.8541	15.7536	2.40304	9.144	20.8186	12.888	17.3606	0.7368	0.496096	0.713856	1	108.672
10	280	90	10	10	10	280	10	13.7741	10.6106	0.470496	0.0266832	0.0261696	8.34611	0.250656	0.024824	0.0255008	12.504	12.7142	11.8243	15.7402	2.40512	9.1319	20.8589	12.8669	17.3453	0.736752	0.496256	0.713376	1	108.665
