Time	[X]	[Y]	[Z]
0.676	-7.55926	-3.22138	40.4145
0.677	-7.51633	-3.26769	40.2775
0.678	-7.47429	-3.3147	40.1414
0.679	-7.43314	-3.36239	40.006
0.68	-7.39287	-3.41076	39.8713
0.681	-7.35349	-3.45979	39.7374
0.682	-7.315	-3.50947	39.6043
0.683	-7.27738	-3.55979	39.4719
0.684	-7.24064	-3.61075	39.3403
0.685	-7.20478	-3.66233	39.2095
0.686	-7.16979	-3.71453	39.0794
0.687	-7.13568	-3.76733	38.9501
0.688	-7.10243	-3.82073	38.8216
0.689	-7.07004	-3.87472	38.6938
0.69	-7.03852	-3.9293	38.5668
